Key,Name,Disaster,Date,Cost,Deaths
73,Northern Plains Flooding (Spring 1997),Flooding,1997-05-24,7242.7,11
74,Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,1997-03-05,1925.8,67
75,Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,1998-02-28,1958.8,132
76,Northeast Ice Storm (January 1998),Winter Storm,1998-01-09,2719.4,16
77,Minnesota Severe Storms/Hail (May 1998),Severe Storm,1998-05-15,3148.3,1
78,"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,1998-06-02,2197.3,20
79,Southern Drought and Heat Wave (Summer 1998),Drought,1998-08-31,6844.3,200
80,Central and Eastern Severe Storms and Flooding (June 1998),Severe Storm,1998-06-24,1725.8,12
81,Tropical Storm Frances (September 1998),Tropical Cyclone,1998-08-13,1344,2
82,Hurricane Bonnie (August 1998),Tropical Cyclone,1998-08-29,1881.6,3
83,Hurricane Georges (September 1998),Tropical Cyclone,1998-09-29,11490.2,16
84,Texas Flooding (October 1998),Flooding,1998-10-24,1808.8,31
85,California Freeze (December 1998),Freeze,1998-12-28,4850,0
86,Central and Eastern Winter Storm (January 1999),Winter Storm,1999-01-04,1972.1,25
87,Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1999-01-16,1684.8,0
88,Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,1999-05-06,3802.9,55
89,Eastern Drought/Heat Wave (Summer 1999),Drought,1999-08-31,4772.8,502
90,Hurricane Floyd (September 1999),Tropical Cyclone,1999-09-16,12138.1,77
91,Southeast Winter Storm (January 2000),Winter Storm,2000-01-24,1313.2,4
92,Western Fire Season (Spring-Summer 2000),Wildfire,2000-08-31,1967.4,0
93,Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,2000-11-30,9294.5,140
94,Southern Severe Weather (March 2000),Severe Storm,2000-03-29,1262.7,0
95,South Florida Flooding (October 2000),Flooding,2000-10-04,1620,3
96,Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,2001-04-11,5508.7,3
97,North Central Severe Weather (May 2001),Severe Storm,2001-05-01,1194.3,0
98,Tropical Storm Allison (June 2001),Tropical Cyclone,2001-06-17,14998.7,43
99,U.S. Drought (Spring-Fall 2002),Drought,2002-11-30,15941.5,0
100,Severe Storms and Tornadoes (April 2002),Severe Storm,2002-04-28,3663.9,7
101,Hurricane Lili (October 2002),Tropical Cyclone,2002-08-05,1921.9,2
102,Western Fire Season (Fall 2002),Wildfire,2002-11-30,2301.8,21
103,Tropical Storm Isidore (September 2002),Tropical Cyclone,2002-09-27,2001,5
104,Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,2002-11-11,1245.6,28
105,Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,2003-11-30,8680.8,35
106,Severe Storms/Hail (April 2003),Severe Storm,2003-04-07,3430.8,3
107,Severe Storms/Tornadoes (May 2003),Severe Storm,2003-05-10,7059.5,51
108,Midwest/Plains Severe Weather (July 2003),Severe Storm,2003-07-09,1467.3,7
109,Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,2003-07-23,1723.9,7
110,California Wildfires (Fall 2003),Wildfire,2003-11-30,6613.7,22
111,Hurricane Isabel (September 2003),Tropical Cyclone,2003-09-19,9322.9,55
112,"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,2004-05-27,1682.9,4
113,Colorado Hail Storms (June 2004),Severe Storm,2004-06-09,1153.7,0
114,Hurricane Charley (August 2004),Tropical Cyclone,2004-08-14,26559.2,35
115,Hurricane Frances (September 2004),Tropical Cyclone,2004-09-09,16170,48
116,Hurricane Ivan (September 2004),Tropical Cyclone,2004-09-21,33825.8,57
117,Hurricane Jeanne (September 2004),Tropical Cyclone,2004-09-29,12369.3,28
118,Midwest Drought (Spring-Summer 2005),Drought,2005-08-31,2433.6,0
119,Southeast Severe Weather (March 2005),Severe Storm,2005-03-27,1401.3,0
120,Hurricane Dennis (July 2005),Tropical Cyclone,2005-07-11,4017,15
121,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-30,200047.3,1833
122,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-24,29230.2,119
123,Hurricane Wilma (October 2005),Tropical Cyclone,2005-10-24,30020,35
124,Numerous Wildfires (2006),Wildfire,2006-12-31,2318.1,28
125,Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,2006-08-31,9476.8,0
126,Severe Storms and Tornadoes (March 2006),Severe Storm,2006-03-13,2100.1,10
127,"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,2006-04-08,2502,10
128,Midwest Tornadoes (April 2006),Severe Storm,2006-04-16,3780.6,27
129,Northeast Flooding (June 2006),Flooding,2006-06-28,2358.5,20
130,North Central Severe Weather and Tornadoes (August 2006),Severe Storm,2006-08-24,1168.9,1
131,Central Severe Weather (October 2006),Severe Storm,2006-10-05,1371.3,1
132,California Freeze (January 2007),Freeze,2007-01-17,2170,1
133,Spring Freeze (April 2007),Freeze,2007-04-10,3168.6,0
134,East/South Severe Weather and Flooding (April 2007),Severe Storm,2007-04-17,3811.8,9
135,Western Wildfires (Summer 2007),Wildfire,2007-08-31,4139.4,12
136,Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,2007-11-30,5484.6,15
137,U.S. Drought (2008),Drought,2008-12-31,10444.7,0
138,"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,2008-01-09,1463.3,12
139,Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008-02-06,1793.2,57
140,Southeast Tornadoes (March 2008),Severe Storm,2008-03-15,1662.6,5
